source,organization,title,description
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Extreme Weather Events,"> Suggested Contingency measures
Hail storm
> Seedling/nursery stage: Vegetable nursery should be raised in poly house or use low-height polytunnels in open areas or cover with plastic sheets or thatching. Vegetative stage: In vegetables, remove damaged parts immediately and apply insecticide followed by fungicide as prophylactic measures. Follow fertilization through foliar as well as broadcasting. Reproductive stage: In vegetables, remove damaged parts immediately and apply insecticide followed by fungicide as prophylactic measures. Follow fertilization through foliar as well as broadcasting for proper fruiting. At harvest: Safely sell in the market after grading for immediate returns."
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Extreme Weather Events,"Heat Wave
> Wheat, Chickpea/pea
> Seedling/nursery stage: For protection from heat and cold waves, sow rabi crops between the 2nd week of October and the 2nd week of November. This protects the vegetative phase from ground/radiation frost and the reproductive phase from terminal heat stress in crops such as mustard, chickpea, wheat, lentil, linseed, and pea. Life-saving irrigation should be given. Vegetative stage: Timely sown crops rarely face heat stress, while very late sown (January) crops do. Provide life-saving irrigation and water spray during evening time frequently at 2-3 days intervals. Manage termite attack by spraying Chlorpyriphos @ 1 ml/lt and drenching @ 3-5 ml/lt water. High temperatures (>35ºC) favor dry root rot in chickpeas during the flowering/reproductive stage, so spray Captan, Thiram, carbendazim, Ridomil MZ, or Saaf @ 1.5-2 g/lt water. Reproductive stage: To minimize terminal heat stress in March and April, frequent protective irrigation regardless of stages is necessary (Life-saving irrigation). Manage termite attack by spraying Chlorpyriphos @ 1 ml/lt water and drenching @ 3-5 ml/lt water. For chickpeas, high temperatures favor dry root rot, so spray Captan, Thiram, carbendazim, Ridomil MZ, or Saaf @ 1.5-2 g/lt water. At harvest: Frequent irrigation should be provided to counter evaporative losses."
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Extreme Weather Events,"Tomato/Brinjal/lady's finger/Cucurbits
> Seedling/nursery stage: Frequent irrigation and mulch (straw/leaves) cover are needed due to heat stress, which increases wilting and mortality. Vegetative stage: As with the seedling stage, frequent irrigation and mulch cover are required to combat heat stress. Reproductive stage: Drying of flowers can be managed by spraying PCOA. Mulching should follow irrigation. At harvest: Immediately harvest after irrigation and move to a safer place to avoid damage.
Cold Wave
> Wheat
> Seedling/nursery stage: Cold environments during tillering or branching favor more tillers in wheat and more branches in mustard, chickpea, lentil, and linseed crops, which is good for yield but bad for potato, tomato, brinjal, pea, creeper vegetables, and fruits. Apply irrigation and balanced fertilizers. Foliar spray of nutrients is recommended. Vegetative stage: Light irrigation along with mulching using crop residues or weeds is advised. Apply fertilizers. Reproductive stage: Continue with irrigation and fertilizer application. At harvest: Not applicable.
Pigeonpea/Mustard/Linseed/Chickpea/pea
> Seedling/nursery stage: Cool weather increases the prominence of aphid insects in mustard and Alternaria blight and powdery mildew in linseed. For aphids, spray Rogor (Dimethoate) @ 2 ml or Monocrotophos 36 EC @ 1 ml/lt water in the evening. For blight, spray a double dose of Iprodione 25% WP + Carbendazim 25% WP @ 2 g/lt water. For powdery mildew in linseed and pea, spray Sulfex @ 3 g or Kairathen 1 ml per lt water twice at weekly intervals in the evening. For chickpeas, high humidity during the seedling stage causes diseases like collar rot, black root rot, wet rot, Pythium root, and seed rot. For potato, pea, and tomato, spray Krilaksil or Ridomil MZ @ 1.5 g/lt water for late blight, a double dose of Iprodione 25% WP + Carbendazim 25% WP for powdery mildew, and carbendazim @ 2 g/lt water, streptocycline @ 1 g/10 lt water for bacterial wilt, leaf spot, and canker. Anthracnose is a concern for cucurbitaceous species."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","> Suggested Contingency measures
> Crop management
Don 2
>Manual weeding followed by hoeing for germinating weeds
>Take care of mealy bug and termite attack which are more prevalent in dry weather.
> Top dressing should be followed only after receipt of rain.
> No urea should be top dressed until receipt of rainfall in rice crop.
> For BPH, dusting field bunds and around with Carbaryl (Savin)4% or malathion 5% @ 10 - 12 kg/acre Don 3
>One manual weeding for germinating weeds
>Apply 4 Kg N/acre in sorghum and oilseed crops soon after receipt of rains."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","> In pigeonpea, if the drought affected plants to recoup with the revival of the rains, spray 2 to 3% urea after the foliage is wetted with the rains.
> Foliar application of Sulphur @ 1ppm to mitigate the stress condition in oilseed is necessary after receipt of rainfall
> Apply post emergence weedicide for controlling weeds in oilseed (Groundnut) to undisturb the pegging process.
>During 40-45 DAS, if there is a severe moisture stress, thinning may be done in kharif sorghum and pearl millet."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period",">Soil nutrient & moisture conservation measures
> Foliar spray of KCI or ZNSO4 @ 2 per cent
>Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21-21 to supplement nutrition during dry spells
>Life saving irrigation through dovas, wells, ponds, check dams and bora bandh
> Remarks on Implementation
Promote for the construction of Rain water harvesting structure watershed programme and MNREGA"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Normal Crop/cropping system: Rice

Suggested Contingency measures

Change in crop/cropping system: Discard Long duration variety (BPT 5204) with Medium duration rice variety of Don 2 in Don 1 DSR (Improved variety). Varieties recommended: Shabhagi Dhan, MTU 1001, MTU 1010, Abhishek. For transplanting (Hybrid rice varieties), recommended varieties are: IET 5656, Rajendra Masuri, Arize 6444 (Gold), PHB 71, PAC 807, 25P25, US 312, 27P31."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Agronomic Measures:

1. Staggered Nursery raising by MAT/ DAPOG method 
2. Follow community-based nursery raising 
3. Use RDF, INPM 
4. Use post-emergence weedicide 
5. Use early to mid early duration of rice variety.

Nursery management:

1. 1 kg N + 1kg P2O5 + 1 kg K2O for 100 m2
2. Seed rate: 80-100 kg/ha for improved rice variety and 15 kg/ha for hybrid rice
3. Topdressing above mentioned dose 10-15 days after sowing
4. In nursery: Carbofuron 3G @300 gm/100 m2 10 days before uprooting of seedling"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Spacing and Fertilizer Dose:

1. Spacing DSR: 20 cm row for PDS and for transplanting 20-25 X 15-25 cm
2. Fertilizer dose: 80:40:20 kg/ha N : P.O. : K2O (Basal 1/2 N + full dose P2O5 + 2/3rd K2O and rest before flowering); for hybrid rice 120-150 kg N + 60 Kg P2O5 + 40 K2O/ha (Basal 1/2 N + full dose P2O5 + 2/3rd K2O; 1/4th N at 20-25 DAS; 1/4th N at 45 DAS ; 1/3rd K2O at the time of flowering)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,A. Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Direct Seeded Rice (DSR): 

1. Use plastic drum seeder rice tools
2. Use post-emergence weedicide

Rice Disease and Pest Management:

1. Stem borer: Carbofuron 3G 12 kg/acre
2. Gall midge: Monocrotophos @ 1ml/liter of water
3. Gundhi bug, leaf folder and BPH: Quinolphos 25 EC (Ekalux) dust @ 25 kg/ha.
4. False smut: 1st spraying at time of flowering and 2nd 10 days after 1st spraying of Propiconazole @ 0.1 % or Nativo @ 0.04 %.
5. Blast: Beam or Tricyclazole @ 0.6 gm /liter of water"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"CONTINGENCY PLAN FOR RABI
 1. Sowing window information","The contingency plan for Rabi crops involves specific sowing windows for different cropping systems in upland, midland, and lowland regions. For the upland cropping system, the following crops are recommended: Rice/Maize-Potato Maize-vegetable Maize-Toria. Specific vegetables such as Potato, Cauliflower, Tomato, Brinjal, Chili, and French bean should be sown between the 2nd week of October and the 3rd week of November. In midland regions, the recommended cropping systems are Rice-Wheat, Rice-Mustard, and Rice-Chickpea with the specific sowing windows as follows: Wheat - 2nd week of November to 2nd week of December, Mustard - 2nd week of October to 2nd week of November, and Chickpea - 2nd week of October to 1st week of November. In lowland areas, the proposed cropping systems include Rice-Wheat, Rice-Chickpea, and Rice-Forage with specific sowing timings being Wheat - 2nd week of November to 2nd week of December, Chickpea - 4th week of October to 1st week of November, and forage crops like Pearl millet and Berseem. For forage crops, rainfed conditions warrant sowing from the 1st to the 4th week of November, while irrigated conditions recommend the 1st week of November to 2nd week of December."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"CONTINGENCY PLAN FOR RABI: Cropping System - Rice-Wheat, Rice-Linseed, Rice-Vegetables. Crop Name - Wheat, Linseed, Vegetables (Cauliflower, Tomato, Brinjal, Chili, French Bean). Sowing Window: Wheat (4th week of October - 2nd week of November), Linseed (Rainfed: 3rd week of October - 1st week of November; Irrigated: 1st week of November - 2nd week of December). Varieties: Wheat (HUW 234, K9107, PBW 373), Linseed (Rainfed: Skekhar, Subra, Sweta, T397; Irrigated: Garima, Skekhar, Subra, T 397). Deep summer ploughing recommended. Seed treatment with Azotobacter and Azospirillum, and also soil application in wheat. For pulses, seed treatment with fungicide-insecticide-rhizobium. Sowing within the defined window for better establishment. Proper seed depth and optimum seed rate with right crop geometry for better crop stand."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"Agronomic Management Practices: Irrigate only at critical stages. Pre-emergence weedicide application. Soil application of Sulphur (20 kg/ha) and boron (1 kg/ha) in oilseed, pulses, and vegetables. Foliar spray of Urea (2%) at flower initiation and pod formation stage in oilseed and pulses. Follow Recommended Dose of Fertilizers (RDF), Integrated Nutrient Management (INM), and Integrated Pest Management (IPM). Follow hoeing after hand weeding. Use anti-transpirants, reflectants, and mulches for water use efficiency. Regular field monitoring for disease and insect attacks. Use pheromone traps and attractants. For Wheat: address Loose Smut Disease. 1st irrigation post-CRI stage (30-35 DAS). For Linseed: manage disease and termite attack through soil and seed treatment. Pre and post-emergence weedicide applications are necessary, and one hand weeding followed by one hoeing between 20 and 45 DAS. Critical irrigation stages include pre-flowering and pod formation. For dual-purpose linseed (seed and flax), increase N fertilizer by 25%. Be vigilant for pod borer, bud fly insect, and powdery mildew disease."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","B1. At vegetative phase, Major Farming Situation/Land Situation: UP LAND Sandy red lateritic soils. Information about: Upland rice, Maize, Vegetables, Cowpea, Groundnut + Pigeonpea, Maize + Pigeonpea, Bhindi + Maize. Mid-season drought contingency measures for Normal Crop/cropping system: Upland rice, Maize, Vegetables, Cowpea, Groundnut + Pigeonpea, Maize + Pigeonpea, Bhindi + Maize. Suggestions include using organic mulches like tree leaves, straw, and other crop residues to conserve soil moisture. Avoid top dressing of fertilizers until enough moisture is available. Use reflectant or antitranspirant like Kaolin @ 3-5 kg/100 L water. For pulses, foliar spray KCI @ 0.5-1% + 100 ppm Boric acid weekly, followed by 2% urea spray in the evening. Spray wax emulsifier, conduct manual weeding followed by hoeing for germinating weeds. Control termites and leaf folders by spraying or drenching Chlorpyriphos @ 2ml/L water for all pulses and cereals."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","For leaf folder control in Maize (Stem borer) and Pigeonpea, apply Carbofuran 3G @ 12 Kg/acre, Phorate 10G @ 4 kg/acre or Quinolphos @ 1 ml/L water in Maize. Also, spray @ 20/40/60 ppm CaCl2 in pulses. In vegetables, use foliar spray of water with 2% KCI + 100 ppm Boron. For tomatoes, foliar spray CaCl2 @ 20/40/60 ppm. Perform gap filling with pigeonpea for adequate plant stand. Control termites in pigeonpea, maize, and other cereals by soil drenching with Chlorpyriphos 20 EC @ 2 ml/L water or adding Chlorpyriphos 1.5% dust @ 8-10 kg/ha, Carbofuran 3G @ 12 kg, or Phorate 10G @ 4 kg/acre before final land preparation. Control Gallmidge. In green and black gram, cowpea, bean and lady's finger, control the spread of YMV by insect vectors by spraying Dimethoate @1 ml/L or Imidacloprid 4 ml/10 L at a 10-day interval. In groundnut, manage termite and white grub incidences with methods suggested for rice. Leaf miner in groundnut can be managed by spraying Monocrotophos 36 SL or Triazophos 40 EC @ 1 ml/L water twice at fortnight intervals."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","Under dry conditions, the incidence of mites is expected to increase in vegetable crops. This can be managed by spraying dicofol @ 2 ml/L water. Early and mid-season drought favors diseases like brown spot of rice and bacterial wilt in brinjal and other vegetables. To conserve soil nutrients and moisture, carry out foliar spraying of DAP @ 2%, along with Boric acid @ 0.3%. Also, spray Urea @ 1%. Provide micro-irrigation with drip systems for wide-spaced crops like chilies and vegetables, and use sprinklers for groundnut, maize, and vegetables where ground/surface water is available. Implement life-saving and protective irrigation from constructed dovas. Promote the construction of rainwater harvesting structures through watershed programs and MNREGA."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"The Jharkhand 2019 Agricultural Contingency Plan for the Santhal Division outlines measures to combat early-season drought, specifically a 6-week delay in the monsoon onset. The document categorizes major farming situations involving upland sandy, lateritic, and acidic soils. Normal cropping systems include direct sown rice, pigeonpea, maize, maize and lady's finger, pigeonpea and blackgram, among others. The contingency measures recommend discarding the rice crop and suggest alternative cropping systems. Sole crops include niger, horsegram, early pigeonpea, finger millet, blackgram, sesame, and French bean. Intercropping recommendations include pigeonpea and sesame (1:2), pigeonpea and maize (1:1), and pigeonpea and blackgram (1:2). For horticultural crops, options include cucurbits, French bean, dolichos bean, tomato, brinjal, cowpea, chili, and lady's finger. Fodder crops suggested include chara badam, hybrid Napier, and sweet sorghum varieties."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"The document details varieties of various crops suitable for the region. Niger varieties include Birsa niger 1, 2, and 3, Puja 1, and VLG 19. Horsegram varieties include Birsa kulthi1. Pigeonpea varieties include Birsa Arhar, Malvia 13, Narendra Arhar 1 and 2, Asha, and ICPH 2671. Finger millet options include A 404, BM 2, BM 3, GPU 28, 67, and VL 149. Blackgram varieties include Birsa urd 1, PU 19/31/35, WBU 109, and Uttara. Sesame varieties include RT 346, Kanke safed, and Krishna. Maize varieties include Birsa makka (Vikash) 2, HQPM 1, Shaktiman 1, Pusa HM 9(AQH 9), KDMH, P3544, LG 32-81 -Yuvral gold, VMH 4106, Malvia makka 2, Kanchan(K 25), and Vivek hybrid 9. Vegetable crop recommendations include Frenchbean varieties like Pant anupma, Swarna priya, and Arka Komal; dolichos bean varieties like Swarna utkrist and Swarna rituwar; tomato varieties like Swarn lalima, BT 12, and Swarn vaibhaw; and brinjal varieties like Pusa purple long, Pusa purple round, and Mukta keshi. Recommendations for chili varieties include Andhrajyoti and Pusasadabahar, while lady's finger varieties include Pusa A 4 and Arka anamika."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Agronomic measures proposed include top dressing of urea and DAP after rain for all crops, lime or dolomite application, and the inclusion of leguminous/pulse crops to improve soil fertility. Replacing crops with short duration, high yielding, and low water-requiring crops like greengram, blackgram, soybean, sesame, horsegram, niger, cowpea, fodder maize, fodder cowpea, fodder sorghum, fodder pearl millet, and sweet potato is advised. In vegetables, follow mulch after cultural operations to control weeds and intercultural operations for moisture conservation. Foliar application of 2% DAP or 0.5 to 1% potassium chloride (KCI) +0.3% boric acid or 2% urea is recommended at pre-flowering and flowering stages. Pest and disease management includes specific treatments for maize (stem borer), pigeonpea (leaf folder), blackgram and greengram (leaf minor, mosaic), soybean (Cercospora leaf spot), finger millet (leaf/finger/neck and collar blast), and vegetables (nursery management with carbofuron 3G and Tricoderma along with half-rotten cow dung). Weed control is advised through pre-emergence and post-emergence herbicides."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","Normal Crop/cropping system: Rice. Suggested Contingency measures: If possible, staggered raising of nursery in rice crop; raise community nursery of rice at a reliable water source to save time for further delay. If rice population is less than 40-50 percent, gap filling by retransplanting, and for more than 50% mortality use fresh seeding for new transplanting. Follow gap filling by removing seedlings from profuse tillers for uniform plant distribution. For termite and disease management in nursery spray Indofil M 45 and Chlorpyriphos @ 0.2%. Provide life-saving irrigation. Use Paddy drum seeder or follow DSR on receipt of rain. High yielding varieties: follow transplanting; Improved varieties: follow DSR."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","For DSR: Use sprouted seeds in plastic drum seeder with increased seed rate by 20-25% for good crop stand. Late transplanted rice during early season drought results in sheath rot and grain discoloration diseases. Follow pre and post-emergence weedicide to manage crop-weed competition for nutrients. Provide life-saving and protective irrigation to over-aged seedlings in the nursery through dovas (harvested rainwater). Take care of blast disease in nursery and avoid using urea in nursery. Strengthen bunds to check drainage holes and seepage loss in transplanted and direct sown medium land rice regularly. Follow raised bed broad furrow or Ridge and furrow method for crops like Maize, Pigeonpea, Lady’s finger, Blackgram, and Soybean."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","Adopt surface mulching with crop residue or tree lopping of Glyricidia wherever possible. If farm waste is not available, use a blade to form a thin layer of soil mulch to avoid cracks. Provide life-saving irrigation. For transplanting over-aged seedling (35-45 days), increase the number of seedlings per hill (5-6 seedlings/hill). Implement soil nutrient and moisture conservation measures. Perform dry seeding of rice with application of pre and post-emergence weedicide in over-aged seedlings (>25 DOS). Apply urea fertilizer in split doses. Use foliar spray of 2% KNO3 or 2% urea solution or 1% water-soluble fertilizers (19-19-19, 20-20-20, 21-21-21) to supplement nutrition during dry spells."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","The ICAR provides recommendations for crop management and soil conservation during mid-season droughts in rice crops grown in midland sandy loam soils. In the event of a long dry spell or consecutive rainless period (less than 2.5 mm of rain), it is suggested to implement life-saving irrigation with harvested water and to spray urea at a 1-2 percent concentration. During drought conditions, especially from August to September, there is a high likelihood of foliar blast and brown spot diseases in rice. To mitigate this, it is recommended to spray Tricyclazole (Tilt) at 6 g/10 liters or Casugamycin at 2 ml/liter of water twice at 10-day intervals. Soil nutrient and moisture conservation measures include foliar sprays of KCI or ZNSO at 2 percent, 2% KNO3 or 2% urea solution, or 1% water-soluble fertilizers such as 19-19-19, 20-20-20, or 21-21-21 to supplement nutrition during dry spells. Life-saving irrigation can also be achieved through dovas, wells, ponds, check dams, and bora bandh."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation:
 Mid season drought (long dry spell,
 consecutive 2 weeks rainless
 (<2.5 mm) period","To support climate-resilient agriculture, it is crucial to promote the construction of rainwater harvesting structures through watershed programs and MNREGA in drought-prone areas. These interventions will ensure the availability of water for irrigation during dry spells and aid in the sustainability of rice cultivation in midland sandy loam soils. The comprehensive contingency measures provided by ICAR are designed to counteract the adverse effects of mid-season droughts and maintain crop health by addressing both water and nutrient requirements."
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July ) - Early Season Drought,"Normal Crop/cropping system: Rice - IR-36, IR-64, Birsa Dhan 201, Lalat. Suggested Contingency Measures: > Change in crop/cropping system: DSR (Improved rice varieties) Var-IR-64 Drt 1, Shabhagi Dhan, Abhishek, BVD 111, BVS 1, BVD 203 Transplanting: Hybrid rice varieties) var. - ArizeTez (Gold), PAC 801, 807. Replace rice with Pulses/vegetable/Fodder crops such as Pulses-Blackgram/Cowpea/Pigeonpea+ Fodder (1:2)/ Pigeonpea + Blackgram (1:2)/Maize (1:1)/Lady's finger(1:2)/Finger millet (1:1). Vegetables include Lady's finger, Amaranthus leaf, Coriander leaf, Dolichos bean, Arvi. Fodder crops include Sorghum, Brachiaria grass, Guinea grass, Rice bean (Moth bean), Maize, Cowpea."
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July ) - Early Season Drought,"Agronomic Measures: Summer deep ploughing with Mouldboard or disc. Dobha construction for In-situ rainwater conservation; Line sowing in upland rice areas through suitable seeding devices to control weeds and facilitate intercultural operations. Zero tillage practices; Seed rate adjustments for sole and intercropping systems, RDF adjustments for intercropping; Weed control in Maize, Pulses, Soybean, and vegetables with specific herbicides; Build bunds for unbunded uplands; Apply well-rotted FYM, P, and K for all crops, ridge and furrow method for moisture conservation. Improve soil fertility by including leguminous/pulse crops; Follow recommended seed rate, treat seeds with specified fungicides and insecticides; Foliar application of Urea 2% solution and lime in lady's finger; appropriately manage pests and diseases for various crops with recommended pesticides and fungicides."
Jharkhand - JHARKHAND_2019_Dist_Agri_Contingency_Plans_Palamau_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July ) - Early Season Drought,"Additional Agronomic and Management Measures: Apply Borax @ 10 kg/ha; For in-situ moisture conservation in vegetables, follow intercultural operations by making ridges and furrows 15-20 DAS. Cultivate a variety of vegetables like Brinjal, Tomato, Cucurbits, Lady's finger, Chili, Coriander leaf, Amaranthus leaf, Arvi, Dolichos bean, Cole crop, French bean, Cowpea. Conduct gap filling and resowing if crop mortality is over 50%; consider short duration, high yielding, low water requiring crops as replacements after downpours. Ensure weed control and irrigate only at critical stages. Coordinate pest and disease management in crops like maize, pigeonpea, blackgram, greengram, soybean, finger millet, and vegetables. Implement campaigns and awareness programs for nursery management, climate-smart agriculture, use of plastic drum seeders, and supply of improved seeds. Facilitate linkages for weather updates and crop-weather insurance to mitigate losses from drought or cyclones."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","> Normal Crop/cropping system: Rice
> Suggested Contingency measures a) Crop management
Don 2 and Don 3
> Life saving irrigation with harvested water
> Spray of urea @ 1-2 percent
> Drought condition during the month of August-September onwards shall result in severe incidence of foliar blast and brown spot diseases in rice. It is advised to spray Tricyclazole (Tilt) @ 6 g/10 lt or Casugamycin @ or Kasu B @ 2 ml/lt. water twice at 10 days intervals during drought period.
> Soil nutrient & moisture conservation measures
> Foliar spray of KCI or ZNSO @ 2 per cent
> Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21-21 to supplement nutrition during dry spells"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"B. Monsoon/Weather Situation: Mid season drought (long dry spell, consecutive 2 weeks rainless (<2.5 mm) period","> Life saving irrigation through dovas, wells, ponds, check dams, and bora bandh
> Remarks on Implementation
Promote for the construction of Rain water harvesting structure watershed programme and MNREGA"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","Organization: ICAR Labels: Sub Title : A3. Major Farming Situation/Land Situation: LOW LAND Sandy clay loam soils Category : Agricultural Adaptation Strategies Sub category : Rice Crop Management Information About : Rice Title: A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset) Description: > Normal Crop/cropping system Rice > Suggested Contingency measures > Change management > If possible, go for staggered nursery raising in rice crop > If possible, raise community nursery of rice at a reliable water source to save time for further delay. > In case, if rice population is less than 40-50 percent, gap filled by retransplanting the rice crop and for more than 50 per cent mortality use fresh seeding for fresh transplanting."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","> Follow gap filling by removing seedlings from profuse tillers to have a uniform distribution of same aged plants > Prefer mid early rice variety instead of late variety > Use pre and post emergence weedicide > Over aged seedling should be top cut and treat the seedlings root by Dursban/Chlorpyriphos @ 5 ml per It water and transplant immediately after treated seedlings with 2 per cent Urea solution > In case of transplanting over aged seedling (35-45 days), increase number of seedling per hill (5-6 seedling/hill) > In fallow land go for cultivation of mid early duration rice variety through DSR @ 70-80 Kg/ha > Soil nutrient & moisture conservation measures > Split application of Urea fertilizer > Foliar spray of 2% KNO3 or 2% urea solution or 1% water soluble fertilizers like 19-19-19, 20-20-20, 21-21- 21 to supplement nutrition during dry spells > Remarks on Implementation Awareness for Construction of Ponds, check dam through water shed management & MNREGA scheme through SHG or on subsidized basis through State Govt. schemes."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","Organization: ICAR
Labels:
Sub Title: A1. Major Farming Situation/Land Situation: UP LAND Sandy red lateritic soils
Category: Agricultural Adaptation Strategies
Sub category: Crop Diversification and Management
Information About: Upland rice, Maize, Vegetables, Cowpea, Groundnut+ Pigeonpea, Maize + Pigeonpea, Bhindi + Maize
Title: A. Monsoon/Weather Situation: Normal onset followed by 15-20 days dry spell after sowing (Early Season Drought-Normal onset)
Description:
> Normal Crop/cropping system: Upland rice, Maize, Vegetables, Cowpea, Groundnut+ Pigeonpea, Maize + Pigeonpea, Bhindi + Maize
> Suggested Contingency measures
> Change management: Cultivate drought tolerant promising non-paddy crops like pigeonpea, blackgram, greengram, rice bean, fingermillet, guar, sesame, soyabean, sorghum, Pearl millet, sweet potato, castor, and vegetables like radish, tomato, brinjal, creeper bean, chili, lady's finger wherever possible in place of upland rice"
